file,model,prompt_type,game_id,target,round,guess,feedback,violated,violation_count,redundant_signals,candidates_before,candidates_after,info_gain_bits,entropy_before,entropy_after,candidates_eliminated,reduction_rate
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,4,USUAL,3,SQUAW,Y-GG-,False,0,0,54,1,5.7549,5.7549,0,53,0.9815
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,4,USUAL,4,USUAL,GGGGG,False,0,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,5,TRULY,1,STATE,-Y---,False,0,0,5629,146,5.2688,12.4587,7.1898,5483,0.9741
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,5,TRULY,2,MIGHT,----Y,False,0,0,146,22,2.7304,7.1898,4.4594,124,0.8493
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,5,TRULY,3,TYROL,GYY-Y,False,0,0,22,1,4.4594,4.4594,0,21,0.9545
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,5,TRULY,4,TRULY,GGGGG,False,0,1,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,6,SPENT,1,STATE,GY--Y,False,0,0,5629,14,8.6513,12.4587,3.8074,5615,0.9975
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,6,SPENT,2,SPENT,GGGGG,False,0,1,14,1,3.8074,3.8074,0,13,0.9286
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,7,PAUSE,1,THING,-----,False,0,0,5629,1638,1.7809,12.4587,10.6777,3991,0.709
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,7,PAUSE,2,LOOKS,----Y,False,0,0,1638,111,3.8833,10.6777,6.7944,1527,0.9322
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,7,PAUSE,3,CASED,-GYY-,False,0,0,111,3,5.2095,6.7944,1.585,108,0.973
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,7,PAUSE,4,PARSE,GG-GG,False,0,1,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,7,PAUSE,5,PAUSE,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,8,CRAZY,1,STATE,--G--,False,0,0,5629,158,5.1549,12.4587,7.3038,5471,0.9719
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,8,CRAZY,2,CLAIM,G-G--,False,0,1,158,12,3.7188,7.3038,3.585,146,0.9241
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,8,CRAZY,3,CRACK,GGG--,False,0,2,12,2,2.585,3.585,1.0,10,0.8333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,8,CRAZY,4,CRAZY,GGGGG,False,0,3,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,9,BASES,1,DROID,-----,False,0,0,5629,1360,2.0493,12.4587,10.4094,4269,0.7584
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,9,BASES,2,STATE,Y-Y-Y,False,0,0,1360,67,4.3433,10.4094,6.0661,1293,0.9507
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,9,BASES,3,EASEL,-GGG-,False,0,0,67,6,3.4811,6.0661,2.585,61,0.9104
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,9,BASES,4,CASES,-GGGG,False,0,3,6,3,1.0,2.585,1.585,3,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,9,BASES,5,BASES,GGGGG,False,0,4,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,10,YOUNG,1,HOUSE,-GG--,False,0,0,5629,18,8.2887,12.4587,4.1699,5611,0.9968
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,10,YOUNG,2,COULD,-GG--,False,0,2,18,3,2.585,4.1699,1.585,15,0.8333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,10,YOUNG,3,MOURN,-GG-Y,False,0,2,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,10,YOUNG,4,YOUNG,GGGGG,False,0,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,1,THING,---G-,False,0,0,5629,161,5.1277,12.4587,7.3309,5468,0.9714
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,2,BOUND,---G-,False,0,1,161,66,1.2865,7.3309,6.0444,95,0.5901
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,3,PLANE,--GGY,False,0,1,66,3,4.4594,6.0444,1.585,63,0.9545
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,4,EVANS,Y-GGG,False,0,2,3,2,0.585,1.585,1.0,1,0.3333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,5,JEANS,-GGGG,False,0,3,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,11,MEANS,6,MEANS,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,12,TRUTH,1,HOUSE,Y-G--,False,0,0,5629,14,8.6513,12.4587,3.8074,5615,0.9975
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,12,TRUTH,2,CHUMP,-YG--,False,0,1,14,3,2.2224,3.8074,1.585,11,0.7857
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,12,TRUTH,3,TRUTH,GGGGG,False,0,1,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,13,FIRED,1,THROW,--G--,False,0,0,5629,249,4.4987,12.4587,7.96,5380,0.9558
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,13,FIRED,2,KAREN,--GG-,False,0,1,249,16,3.96,7.96,4.0,233,0.9357
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,13,FIRED,3,PERES,--GG-,False,0,2,16,4,2.0,4.0,2.0,12,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,13,FIRED,4,FIRED,GGGGG,False,0,2,4,1,2.0,2.0,0,3,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,14,FOLKS,1,FETCH,G----,False,0,0,5629,94,5.9041,12.4587,6.5546,5535,0.9833
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,14,FOLKS,2,FOUND,GG---,False,0,1,94,15,2.6477,6.5546,3.9069,79,0.8404
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,14,FOLKS,3,FORKS,GG-GG,False,0,2,15,1,3.9069,3.9069,0,14,0.9333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,14,FOLKS,4,FOLKS,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,15,CHILE,1,THING,-GG--,False,0,0,5629,29,7.6007,12.4587,4.858,5600,0.9948
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,15,CHILE,2,WHIMS,-GG--,False,0,2,29,12,1.273,4.858,3.585,17,0.5862
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,15,CHILE,3,CHILE,GGGGG,False,0,2,12,1,3.585,3.585,0,11,0.9167
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,1,THING,-----,False,0,0,5629,1638,1.7809,12.4587,10.6777,3991,0.709
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,2,WORLD,---Y-,False,0,0,1638,159,3.3648,10.6777,7.3129,1479,0.9029
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,3,PALES,-YY--,False,0,0,159,8,4.3129,7.3129,3.0,151,0.9497
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,4,LUCCA,Y--GY,False,0,0,8,2,2.0,3.0,1.0,6,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,5,FLACK,-GGGG,True,1,1,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,16,BLACK,6,BLACK,GGGGG,True,1,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,17,GRANT,1,THING,Y--GY,False,0,0,5629,5,10.1367,12.4587,2.3219,5624,0.9991
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,17,GRANT,2,GRUNT,GG-GG,False,0,1,5,1,2.3219,2.3219,0,4,0.8
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,17,GRANT,3,GRANT,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,18,MEALS,1,THIRD,-----,False,0,0,5629,1218,2.2084,12.4587,10.2503,4411,0.7836
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,18,MEALS,2,LACES,YY-YG,False,0,0,1218,4,8.2503,10.2503,2.0,1214,0.9967
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,18,MEALS,3,SEALS,-GGGG,False,0,1,4,1,2.0,2.0,0,3,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,18,MEALS,4,MEALS,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,19,CREAM,1,WHERE,--GY-,False,0,0,5629,44,6.9992,12.4587,5.4594,5585,0.9922
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,19,CREAM,2,DREGS,-GG--,False,0,1,44,14,1.6521,5.4594,3.8074,30,0.6818
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,19,CREAM,3,FREYA,-GG-Y,False,0,2,14,6,1.2224,3.8074,2.585,8,0.5714
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,19,CREAM,4,BREAM,-GGGG,False,0,2,6,1,2.585,2.585,0,5,0.8333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,19,CREAM,5,CREAM,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,1,THERE,----G,False,0,0,5629,269,4.3872,12.4587,8.0715,5360,0.9522
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,2,MAUVE,-Y--G,True,1,1,269,45,2.5796,8.0715,5.4919,224,0.8327
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,3,APPLE,G---G,True,1,1,45,14,1.6845,5.4919,3.8074,31,0.6889
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,4,ABODE,G---G,True,1,2,14,5,1.4854,3.8074,2.3219,9,0.6429
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,5,ANISE,G---G,True,1,2,5,1,2.3219,2.3219,0,4,0.8
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,20,AWAKE,6,AWAKE,GGGGG,True,1,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,21,OCCUR,1,EARTH,--Y--,False,0,0,5629,198,4.8293,12.4587,7.6294,5431,0.9648
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,21,OCCUR,2,BROOK,-YY--,False,0,0,198,24,3.0444,7.6294,4.585,174,0.8788
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,21,OCCUR,3,YOURS,-YYY-,False,0,0,24,1,4.585,4.585,0,23,0.9583
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,21,OCCUR,4,OCCUR,GGGGG,False,0,0,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,1,VIOLA,----Y,False,0,0,5629,947,2.5714,12.4587,9.8872,4682,0.8318
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,2,HAUNT,-Y---,False,0,0,947,150,2.6584,9.8872,7.2288,797,0.8416
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,3,CEASE,-GGY-,False,0,0,150,16,3.2288,7.2288,4.0,134,0.8933
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,4,FEARS,-GGGG,False,0,2,16,8,1.0,4.0,3.0,8,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,5,BEARS,-GGGG,False,0,4,8,7,0.1926,3.0,2.8074,1,0.125
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,22,YEARS,6,SEARS,-GGGG,False,0,4,7,6,0.2224,2.8074,2.585,1,0.1429
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,23,GRADE,1,STATE,--G-G,False,0,0,5629,54,6.7038,12.4587,5.7549,5575,0.9904
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,23,GRADE,2,PLACE,--G-G,False,0,2,54,26,1.0544,5.7549,4.7004,28,0.5185
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,23,GRADE,3,MEADE,--GGG,False,0,2,26,1,4.7004,4.7004,0,25,0.9615
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,23,GRADE,4,GRADE,GGGGG,False,0,3,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,1,THING,-GG--,False,0,0,5629,29,7.6007,12.4587,4.858,5600,0.9948
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,2,SHIRE,-GG--,False,0,2,29,12,1.273,4.858,3.585,17,0.5862
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,3,CHICK,GGG--,False,0,2,12,6,1.0,3.585,2.585,6,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,4,CHILD,GGGG-,False,0,3,6,2,1.585,2.585,1.0,4,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,5,CHILI,GGGG-,False,0,4,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,24,CHILL,6,CHILL,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,25,FLOOD,1,THERE,-----,False,0,0,5629,1280,2.1367,12.4587,10.3219,4349,0.7726
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,25,FLOOD,2,WOMAN,-Y---,False,0,0,1280,49,4.7072,10.3219,5.6147,1231,0.9617
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,25,FLOOD,3,BLOOD,-GGGG,False,0,0,49,1,5.6147,5.6147,0,48,0.9796
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,25,FLOOD,4,FLOOD,GGGGG,False,0,4,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,26,APPLY,1,HOUSE,-----,False,0,0,5629,694,3.0199,12.4587,9.4388,4935,0.8767
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,26,APPLY,2,ZAPPA,-YGY-,False,0,0,694,1,9.4388,9.4388,0,693,0.9986
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,26,APPLY,3,APPLY,GGGGG,False,0,1,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,27,SMILE,1,OXIDE,--G-G,False,0,0,5629,82,6.1011,12.4587,6.3576,5547,0.9854
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,27,SMILE,2,CLINE,-YG-G,False,0,2,82,5,4.0356,6.3576,2.3219,77,0.939
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,27,SMILE,3,AGILE,--GGG,False,0,2,5,3,0.737,2.3219,1.585,2,0.4
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,27,SMILE,4,WHILE,--GGG,False,0,3,3,2,0.585,1.585,1.0,1,0.3333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,27,SMILE,5,SMILE,GGGGG,False,0,3,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,28,KNOCK,1,STILL,-----,False,0,0,5629,1295,2.1199,12.4587,10.3387,4334,0.7699
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,28,KNOCK,2,WORDY,-Y---,False,0,0,1295,77,4.0719,10.3387,6.2668,1218,0.9405
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,28,KNOCK,3,EPOCH,--GG-,False,0,0,77,1,6.2668,6.2668,0,76,0.987
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,28,KNOCK,4,KNOCK,GGGGG,False,0,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,29,SLEEP,1,OTHER,---G-,False,0,0,5629,314,4.164,12.4587,8.2946,5315,0.9442
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,29,SLEEP,2,CASED,--YG-,False,0,1,314,60,2.3877,8.2946,5.9069,254,0.8089
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,29,SLEEP,3,BIKES,---GY,False,0,1,60,4,3.9069,5.9069,2.0,56,0.9333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,29,SLEEP,4,SLEEP,GGGGG,False,0,1,4,1,2.0,2.0,0,3,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,30,BRICK,1,WORLD,--Y--,False,0,0,5629,631,3.1572,12.4587,9.3015,4998,0.8879
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,30,BRICK,2,RIGHT,YY---,False,0,0,631,82,2.9439,9.3015,6.3576,549,0.87
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,30,BRICK,3,CRIME,YGG--,False,0,0,82,4,4.3576,6.3576,2.0,78,0.9512
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,30,BRICK,4,BRICK,GGGGG,False,0,2,4,1,2.0,2.0,0,3,0.75
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,31,WROTE,1,THING,Y----,False,0,0,5629,438,3.6839,12.4587,8.7748,5191,0.9222
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,31,WROTE,2,STORE,-YGYG,False,0,0,438,1,8.7748,8.7748,0,437,0.9977
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,31,WROTE,3,WROTE,GGGGG,False,0,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,1,THING,Y----,False,0,0,5629,438,3.6839,12.4587,8.7748,5191,0.9222
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,2,STATE,-YY-Y,False,0,0,438,29,3.9168,8.7748,4.858,409,0.9338
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,3,ACTED,Y-GGG,False,0,0,29,4,2.858,4.858,2.0,25,0.8621
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,4,DATED,-GGGG,False,0,3,4,3,0.415,2.0,1.585,1,0.25
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,5,MATED,-GGGG,False,0,4,3,2,0.585,1.585,1.0,1,0.3333
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,32,RATED,6,RATED,GGGGG,False,0,4,2,1,1.0,1.0,0,1,0.5
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,33,ALERT,1,HOUSE,----Y,False,0,0,5629,654,3.1055,12.4587,9.3531,4975,0.8838
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,33,ALERT,2,EARLY,YYYY-,False,0,0,654,12,5.7682,9.3531,3.585,642,0.9817
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,33,ALERT,3,ALGER,GG-YY,False,0,0,12,1,3.585,3.585,0,11,0.9167
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,33,ALERT,4,ALERT,GGGGG,False,0,2,1,1,0,0,0,0,0.0
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,34,CAGES,1,THING,----Y,False,0,0,5629,239,4.5578,12.4587,7.9009,5390,0.9575
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,34,CAGES,2,GLEAM,Y-YY-,False,0,0,239,22,3.4414,7.9009,4.4594,217,0.9079
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,34,CAGES,3,SAGES,-GGGG,False,0,0,22,4,2.4594,4.4594,2.0,18,0.8182
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,34,CAGES,4,PAGES,-GGGG,True,1,4,4,3,0.415,2.0,1.585,1,0.25
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,34,CAGES,5,CAGES,GGGGG,True,1,4,3,1,1.585,1.585,0,2,0.6667
model_codestral_22b_chain-of-thought_20251211_195835.csv,codestral-22b,chain-of-thought,35,TEDDY,1,THINK,G----,False,0,0,5629,136,5.3712,12.4587,7.0875,5493,0.9758
