game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
21,AWAKE,True,6,OTHER,---Y-,5,5,LLM,BLAME,--G-G,3,3,CSS,FIFTH,-----,5.0,5.0,LLM,USAGE,--G-G,3.0,3.0,CSS,PEACE,--G-G,3.0,3.0,LLM,AWAKE,GGGGG,0.0,0.0,CSS,5629,519,90.77988985610233,519,23,95.56840077071291,23,21,8.695652173913043,21,7,66.66666666666666,7,1,85.71428571428571,1,1,0.0
22,OCCUR,True,4,THERE,---Y-,5,5,LLM,DORKS,-YY--,5,5,CSS,FLOUR,--YGG,3.0,3.0,LLM,OCCUR,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,539,90.42458696038372,539,63,88.31168831168831,63,1,98.4126984126984,1,1,0.0,,,,,,
23,YEARS,False,6,THING,-----,5,5,LLM,BLACK,--G--,4,4,CSS,GRAPE,-YG-Y,4.0,4.0,LLM,REAMS,YGG-G,2.0,2.0,CSS,REARS,-GGGG,1.0,1.0,LLM,WEARS,-GGGG,1.0,1.0,CSS,5629,1638,70.90069284064666,1638,59,96.3980463980464,59,10,83.05084745762711,10,4,60.0,4,4,0.0,4,3,25.0
24,GRADE,True,6,THIRS,---Y-,5,5,LLM,GRACE,GGG-G,1,1,CSS,GRAPE,GGG-G,1.0,1.0,LLM,GRAVE,GGG-G,1.0,1.0,CSS,GRAZE,GGG-G,1.0,1.0,LLM,GRADE,GGGGG,0.0,0.0,CSS,5629,584,89.62515544501687,584,4,99.31506849315068,4,3,25.0,3,2,33.33333333333333,2,1,50.0,1,1,0.0
25,CHILL,True,3,THIRD,-GG--,3,3,LLM,CHILE,GGGG-,1,1,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,36,99.36045478770652,36,2,94.44444444444444,2,1,50.0,,,,,,,,,
26,FLOOD,True,5,THINK,-----,5,5,LLM,GRADE,---Y-,5,5,CSS,DEBTS,Y----,5.0,5.0,LLM,FLOYD,GGG-G,1.0,1.0,CSS,FLOOD,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,21,98.72804360993337,21,8,61.904761904761905,8,1,87.5,1,1,0.0,,,
27,APPLY,True,4,THINK,-----,5,5,LLM,SADLY,-Y-GG,3,3,CSS,REALY,--YGG,3.0,3.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,3,99.8182919442762,3,2,33.33333333333333,2,1,50.0,,,,,,
28,SMILE,True,4,THINK,--G--,4,4,LLM,PRIMO,--GY-,4,4,CSS,MAILS,Y-GGY,3.0,3.0,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,192,96.58909220110144,192,9,95.3125,9,1,88.88888888888889,1,1,0.0,,,,,,
29,KNOCK,True,4,AFTER,-----,5,5,LLM,CHILL,Y----,5,5,CSS,SUCKS,--YY-,5.0,4.0,LLM,KNOCK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,684,87.84864096642387,684,21,96.9298245614035,21,1,95.23809523809523,1,1,0.0,,,,,,
30,SLEEP,True,4,THOSE,---YY,5,5,LLM,MEANS,-Y--Y,5,5,CSS,SPEED,GYGG-,2.0,2.0,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,390,93.0715935334873,390,20,94.87179487179486,20,2,90.0,2,1,50.0,,,,,,
31,BRICK,True,6,THINK,--G-G,3,3,LLM,FRISK,-GG-G,2,2,CSS,CRICK,-GGGG,1.0,1.0,LLM,ERICK,-GGGG,1.0,1.0,CSS,PRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,5629,15,99.73352282821105,15,4,73.33333333333333,4,3,25.0,3,2,33.33333333333333,2,1,50.0,1,1,0.0
32,WROTE,True,4,THINK,Y----,5,5,LLM,PLATT,---G-,4,4,CSS,SOURE,-Y-YG,4.0,4.0,LLM,WROTE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,451,91.98791970154558,451,39,91.35254988913526,39,1,97.43589743589743,1,1,0.0,,,,,,
33,RATED,True,4,GIVEN,---G-,4,4,LLM,SLEEP,---G-,4,4,CSS,GRIDE,-Y-YY,5.0,4.0,LLM,RATED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,502,91.08189731746313,502,142,71.71314741035857,142,19,86.61971830985915,19,1,94.73684210526315,,,,,,
34,ALERT,True,4,THEIR,Y-G-Y,4,4,LLM,ARENT,GYG-G,2,2,CSS,AVERT,G-GGG,1.0,1.0,LLM,ALERT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,21,99.62693195949547,21,2,90.47619047619048,2,1,50.0,1,1,0.0,,,,,,
35,CAGES,False,6,WORDS,----G,4,4,LLM,SEAMS,-YY-G,4,4,CSS,SEEMS,-Y--G,4.0,4.0,LLM,TAPES,-G-GG,2.0,2.0,CSS,SEASL,YYY--,5.0,5.0,LLM,BAKES,-G-GG,2.0,2.0,CSS,5629,518,90.79765500088826,518,44,91.5057915057915,44,41,6.8181818181818175,41,20,51.21951219512195,20,14,30.0,14,10,28.57142857142857
36,TEDDY,True,4,THINK,G----,4,4,LLM,TRULY,G---G,3,3,CSS,GREEN,--Y--,5.0,5.0,LLM,TEDDY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,136,97.58394030911352,136,9,93.38235294117648,9,1,88.88888888888889,1,1,0.0,,,,,,
37,COLES,False,6,THING,-----,5,5,LLM,REALY,-Y-Y-,5,5,CSS,SLEEK,YY-G-,4.0,4.0,LLM,LOVES,YG-GG,2.0,2.0,CSS,POLES,-GGGG,1.0,1.0,LLM,FOLES,-GGGG,1.0,1.0,CSS,5629,1638,70.90069284064666,1638,52,96.82539682539682,52,11,78.84615384615384,11,4,63.63636363636363,4,3,25.0,3,2,33.33333333333333
38,HWANG,True,3,BASED,-Y---,5,5,LLM,GRANT,Y-GG-,3,3,CSS,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,419,92.55640433469533,419,9,97.85202863961814,9,1,88.88888888888889,,,,,,,,,
39,WRATH,True,4,CARER,-YY--,5,5,LLM,GRANT,-GG-Y,3,3,CSS,TRAPS,YGG--,3.0,3.0,LLM,WRATH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,171,96.96216024160597,171,11,93.56725146198829,11,1,90.9090909090909,1,1,0.0,,,,,,
40,MACHO,True,5,THIES,-Y---,5,5,LLM,HWANG,Y-Y--,5,5,CSS,FIRST,-----,5.0,5.0,LLM,MOCHA,GYGGY,2.0,2.0,CSS,MACHO,GGGGG,0.0,0.0,LLM,,,,,,5629,130,97.6905311778291,130,23,82.3076923076923,23,12,47.82608695652174,12,1,91.66666666666666,1,1,0.0,,,
41,LOPEZ,True,6,THERE,--Y--,5,5,LLM,CAMEO,---GY,4,4,CSS,MOREC,-G-G-,3.0,3.0,LLM,FOLES,-GYG-,3.0,3.0,CSS,LOVED,GG-G-,2.0,2.0,LLM,LOPEZ,GGGGG,0.0,0.0,CSS,5629,588,89.55409486587315,588,68,88.43537414965986,68,61,10.294117647058822,61,9,85.24590163934425,9,1,88.88888888888889,1,1,0.0
42,GOODY,True,5,THINK,-----,5,5,LLM,FOLES,-G---,4,4,CSS,BOARD,-G--Y,4.0,4.0,LLM,DOGGO,YGY-Y,4.0,4.0,CSS,GOODY,GGGGG,0.0,0.0,LLM,,,,,,5629,1651,70.66974595842956,1651,40,97.57722592368262,40,7,82.5,7,1,85.71428571428571,1,1,0.0,,,
43,BROTH,True,3,THINK,YY---,5,5,LLM,WRATH,-G-GG,2,2,CSS,BROTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,89,98.41890211405223,89,2,97.75280898876404,2,1,50.0,,,,,,,,,
44,VERDE,True,3,WORDS,--GG-,3,3,LLM,TARDY,--GG-,3,3,CSS,VERDE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,13,99.76905311778292,13,2,84.61538461538461,2,1,50.0,,,,,,,,,
45,TAMED,True,5,GIVEN,---G-,4,4,LLM,RATED,-GYGG,2,2,CSS,TAPED,GG-GG,1.0,1.0,LLM,TAXED,GG-GG,1.0,1.0,CSS,TAMED,GGGGG,0.0,0.0,LLM,,,,,,5629,502,91.08189731746313,502,3,99.40239043824701,3,2,33.33333333333333,2,1,50.0,1,1,0.0,,,
46,LEAFS,True,6,THIRS,----G,4,4,LLM,CODES,---YG,4,4,CSS,GREEN,--Y--,5.0,5.0,LLM,MEALS,-GGYG,2.0,2.0,CSS,LEAKS,GGG-G,1.0,1.0,LLM,LEAFS,GGGGG,0.0,0.0,CSS,5629,436,92.25439687333451,436,52,88.07339449541286,52,19,63.46153846153846,19,3,84.21052631578947,3,2,33.33333333333333,2,1,50.0
47,YACHT,True,4,WORDS,-----,5,5,LLM,CELTA,Y--YY,5,5,CSS,MATCH,-GYYY,4.0,3.0,LLM,YACHT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1044,81.45318884348907,1044,11,98.9463601532567,11,1,90.9090909090909,1,1,0.0,,,,,,
48,MESSY,True,5,THIEV,---Y-,5,5,LLM,FLAME,---YY,5,5,CSS,GIVEN,---Y-,5.0,5.0,LLM,MEEKS,GG--Y,3.0,3.0,CSS,MESSY,GGGGG,0.0,0.0,LLM,,,,,,5629,704,87.49333807070528,704,21,97.01704545454545,21,16,23.809523809523807,16,1,93.75,1,1,0.0,,,
49,RYDER,True,4,THERE,--YY-,5,4,LLM,SIRED,--YGY,4,4,CSS,ORDER,-YGGG,2.0,2.0,LLM,RYDER,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,327,94.19079765500089,327,19,94.18960244648318,19,1,94.73684210526315,1,1,0.0,,,,,,
50,MOTIF,True,4,CARES,-----,5,5,LLM,GODOT,-G--Y,4,4,CSS,GOODY,-G---,4.0,4.0,LLM,MOTIF,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,399,92.91170723041392,399,12,96.99248120300751,12,6,50.0,6,1,83.33333333333334,,,,,,
51,RAVEN,True,3,CHECK,--Y--,5,5,LLM,TENOR,-YY-Y,5,5,CSS,RAVEN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1530,72.8193284775271,1530,22,98.56209150326798,22,1,95.45454545454545,,,,,,,,,
52,REICH,True,3,THIRS,-YGY-,4,4,LLM,ERICH,YYGGG,2,2,CSS,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,3,99.94670456564221,3,1,66.66666666666666,1,1,0.0,,,,,,,,,
53,ICONS,True,4,THINK,--YG-,4,4,LLM,JIANG,-Y-G-,4,4,CSS,IRONS,G-GGG,1.0,1.0,LLM,ICONS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,28,99.50257594599397,28,6,78.57142857142857,6,1,83.33333333333334,1,1,0.0,,,,,,
54,SILKY,True,5,WORDS,----Y,5,5,LLM,SPACE,G----,4,4,CSS,SIGHT,GG---,3.0,3.0,LLM,SILLY,GGG-G,1.0,1.0,CSS,SILKY,GGGGG,0.0,0.0,LLM,,,,,,5629,431,92.34322259726416,431,42,90.25522041763341,42,3,92.85714285714286,3,1,66.66666666666666,1,1,0.0,,,
55,CARVE,True,4,THINK,-----,5,5,LLM,GOODE,----G,4,4,CSS,SOARE,--YYG,4.0,3.0,LLM,CARVE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,107,93.519079345851,107,6,94.39252336448598,6,1,83.33333333333334,,,,,,
56,LAGER,True,6,THIRS,---Y-,5,5,LLM,RAVEN,YG-G-,3,3,CSS,GIVEN,Y--G-,4.0,4.0,LLM,EAGER,-GGGG,1.0,1.0,CSS,WAGER,-GGGG,1.0,1.0,LLM,LAGER,GGGGG,0.0,0.0,CSS,5629,584,89.62515544501687,584,37,93.66438356164383,37,4,89.1891891891892,4,3,25.0,3,2,33.33333333333333,2,1,50.0
57,JERKS,True,4,THINK,----Y,5,5,LLM,MEEKS,-G-GG,2,2,CSS,FIRST,--GY-,4.0,4.0,LLM,JERKS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,183,96.74897850417481,183,8,95.62841530054644,8,3,62.5,3,1,66.66666666666666,,,,,,
58,LOTUS,True,5,WORDS,-G--G,3,3,LLM,COSTS,-G-YG,3,3,CSS,NOTES,-GG-G,2.0,2.0,LLM,POTUS,-GGGG,1.0,1.0,CSS,LOTUS,GGGGG,0.0,0.0,LLM,,,,,,5629,137,97.56617516432759,137,15,89.05109489051095,15,4,73.33333333333333,4,1,75.0,1,1,0.0,,,
59,LACEY,True,4,WORDS,-----,5,5,LLM,MATCH,-G-Y-,4,4,CSS,CANAL,YG--Y,4.0,4.0,LLM,LACEY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1044,81.45318884348907,1044,15,98.5632183908046,15,1,93.33333333333333,1,1,0.0,,,,,,
60,TUDOR,True,3,THINK,G----,4,4,LLM,TARDY,G-YY-,4,4,CSS,TUDOR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,136,97.58394030911352,136,1,99.26470588235294,1,1,0.0,,,,,,,,,
61,QUOTA,True,4,THERE,Y----,5,5,LLM,POTUS,-YYY-,5,4,CSS,OTAKU,YYY-Y,5.0,4.0,LLM,QUOTA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,333,94.0842067862853,333,3,99.09909909909909,3,1,66.66666666666666,1,1,0.0,,,,,,
62,MOURN,True,4,OFTEN,Y---G,4,4,LLM,GROIN,-YY-G,4,4,CSS,BARON,--YYG,4.0,4.0,LLM,MOURN,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,103,98.1701900870492,103,23,77.66990291262135,23,1,95.65217391304348,1,1,0.0,,,,,,
63,PROMO,True,6,WORDS,-YY--,5,5,LLM,IRONY,-GG--,3,3,CSS,GIVEN,-----,5.0,5.0,LLM,BROTH,-GG--,3.0,3.0,CSS,PROOF,GGGY-,2.0,2.0,LLM,PROMO,GGGGG,0.0,0.0,CSS,5629,153,97.2819328477527,153,39,74.50980392156863,39,21,46.15384615384615,21,9,57.14285714285714,9,1,88.88888888888889,1,1,0.0
64,CASTE,True,3,THREE,Y---G,4,4,LLM,COMTE,G--GG,2,2,CSS,CASTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,46,99.18280333984723,46,1,97.82608695652173,1,1,0.0,,,,,,,,,
65,CAPRI,True,5,THINK,--Y--,5,5,LLM,SISSY,-Y---,5,5,CSS,MAGIC,-G-YY,4.0,4.0,LLM,CARDI,GGY-G,2.0,2.0,CSS,CAPRI,GGGGG,0.0,0.0,LLM,,,,,,5629,465,91.73920767454254,465,141,69.6774193548387,141,2,98.58156028368793,2,1,50.0,1,1,0.0,,,
66,ALIAS,True,4,AFTER,G----,4,4,LLM,AMISS,G-G-G,2,2,CSS,ACIDS,G-G-G,2.0,2.0,LLM,ALIAS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,103,98.1701900870492,103,3,97.0873786407767,3,1,66.66666666666666,1,1,0.0,,,,,,
67,PADDY,True,6,THINK,-----,5,5,LLM,EAGER,-G---,4,4,CSS,SALAD,-G--Y,4.0,4.0,LLM,CADDY,-GGGG,1.0,1.0,CSS,DADDY,-GGGG,1.0,1.0,LLM,PADDY,GGGGG,0.0,0.0,CSS,5629,1651,70.66974595842956,1651,108,93.45850999394307,108,6,94.44444444444444,6,3,50.0,3,2,33.33333333333333,2,1,50.0
68,BLOBS,True,5,THERE,-----,5,5,LLM,MILOS,--YYG,4,3,CSS,BLOWS,GGG-G,1.0,1.0,LLM,BLOGS,GGG-G,1.0,1.0,CSS,BLOBS,GGGGG,0.0,0.0,LLM,,,,,,5629,1280,77.2606146740096,1280,30,97.65625,30,3,90.0,3,2,33.33333333333333,2,1,50.0,,,
69,DILLY,True,5,THIRS,--Y--,5,5,LLM,LOGIC,Y--Y-,5,5,CSS,IDEAL,YY--Y,5.0,4.0,LLM,DIMLY,GG-GG,1.0,1.0,CSS,DILLY,GGGGG,0.0,0.0,LLM,,,,,,5629,359,93.62231302185113,359,42,88.3008356545961,42,2,95.23809523809523,2,1,50.0,1,1,0.0,,,
70,GUTSY,True,4,THINK,Y----,5,5,LLM,CASTE,--YY-,5,5,CSS,STORY,YY--G,4.0,4.0,LLM,GUTSY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,451,91.98791970154558,451,31,93.12638580931264,31,1,96.7741935483871,1,1,0.0,,,,,,
71,TABOR,True,3,THINK,G----,4,4,LLM,TUDOR,G--GG,2,2,CSS,TABOR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,136,97.58394030911352,136,1,99.26470588235294,1,1,0.0,,,,,,,,,
72,INLAY,True,3,WORDS,-----,5,5,LLM,HALEN,-YG-Y,4,4,CSS,INLAY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,,,,,,5629,1044,81.45318884348907,1044,1,99.90421455938697,1,1,0.0,,,,,,,,,
73,AHHHH,True,4,THINK,-G---,4,4,LLM,SHARE,-GY--,4,4,CSS,AHMAD,GG---,3.0,3.0,LLM,AHHHH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,88,98.43666725883816,88,4,95.45454545454545,4,1,75.0,1,1,0.0,,,,,,
74,ROUEN,True,4,THINK,---Y-,5,5,LLM,ARDEN,-Y-GG,3,3,CSS,ROSEN,GG-GG,1.0,1.0,LLM,ROUEN,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,445,92.09451057026115,445,7,98.42696629213484,7,2,71.42857142857143,2,1,50.0,,,,,,
75,BUENA,True,6,THINK,---G-,4,4,LLM,LOANS,--YG-,4,4,CSS,THEIR,--G--,4.0,4.0,LLM,AMEND,Y-GG-,3.0,3.0,CSS,BUOYS,GG---,3.0,3.0,LLM,BUENA,GGGGG,0.0,0.0,CSS,5629,176,96.87333451767633,176,24,86.36363636363636,24,3,87.5,3,1,66.66666666666666,1,1,0.0,1,1,0.0
76,MENON,True,4,GIVEN,---YG,4,4,LLM,DEMON,-GYGG,2,2,CSS,WORDS,-Y---,5.0,5.0,LLM,MENON,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,37,99.34268964292059,37,2,94.5945945945946,2,2,0.0,2,1,50.0,,,,,,
77,TRASK,True,5,AREAR,YG---,4,4,LLM,WRATH,-GGY-,3,3,CSS,TRACT,GGG--,2.0,2.0,LLM,TRAPS,GGG-Y,2.0,2.0,CSS,TRASK,GGGGG,0.0,0.0,LLM,,,,,,5629,88,98.43666725883816,88,20,77.27272727272727,20,9,55.00000000000001,9,1,88.88888888888889,1,1,0.0,,,
78,CASIO,True,6,THINK,--Y--,5,5,LLM,DILLY,-Y---,5,5,CSS,MIRIY,---G-,4.0,4.0,LLM,FACIE,-GYG-,3.0,3.0,CSS,BASIC,-GGGY,2.0,2.0,LLM,CASIO,GGGGG,0.0,0.0,CSS,5629,465,91.73920767454254,465,86,81.50537634408602,86,22,74.4186046511628,22,2,90.9090909090909,2,1,50.0,1,1,0.0
79,VOILA,True,4,AFTER,Y----,5,5,LLM,CASIO,-Y-YY,5,5,CSS,VIOLA,GYYGG,2.0,2.0,LLM,VOILA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,677,87.97299697992538,677,4,99.40915805022156,4,1,75.0,1,1,0.0,,,,,,
80,AURAL,False,6,THIER,----Y,5,5,LLM,CROOK,-Y---,5,5,CSS,YARDS,-YG--,4.0,4.0,LLM,QURAN,-GGG-,2.0,2.0,CSS,RURAL,-GGGG,1.0,1.0,LLM,MURAL,-GGGG,1.0,1.0,CSS,5629,409,92.73405578255462,409,93,77.26161369193154,93,7,92.47311827956989,7,3,57.14285714285714,3,2,33.33333333333333,2,1,50.0
81,LEGER,True,4,THINK,-----,5,5,LLM,AGREE,-YYGY,4,4,CSS,GREED,YYYG-,4.0,4.0,LLM,LEGER,GGGGG,0.0,0.0,CSS,,,,,,,,,,,5629,1651,70.66974595842956,1651,3,99.8182919442762,3,1,66.66666666666666,1,1,0.0,,,,,,
