strategy,game_number,target_word,tier,won,attempts,total_reward,guess_1,feedback_1,hamming_1,levenshtein_1,guess_2,feedback_2,hamming_2,levenshtein_2,guess_3,feedback_3,hamming_3,levenshtein_3,guess_4,feedback_4,hamming_4,levenshtein_4,guess_5,feedback_5,hamming_5,levenshtein_5,guess_6,feedback_6,hamming_6,levenshtein_6,violated_green_1,violated_yellow_1,violated_gray_1,total_violations_1,violated_green_2,violated_yellow_2,violated_gray_2,total_violations_2,violated_green_3,violated_yellow_3,violated_gray_3,total_violations_3,violated_green_4,violated_yellow_4,violated_gray_4,total_violations_4,violated_green_5,violated_yellow_5,violated_gray_5,total_violations_5,violated_green_6,violated_yellow_6,violated_gray_6,total_violations_6
pure_random,14,FIRED,1,False,7,-10.0,PASTS,-----,5,5,SHARD,---YG,4,4,EDEMA,YY---,5.0,5.0,RUGBY,Y----,5.0,5.0,POPPY,-----,5.0,5.0,AGATE,----Y,5.0,5.0,0,0,0,0,0,0,2,2,1,1,1,3,1,2,0,3,1,3,2,6,1,2,3,6
pure_random,15,FOLKS,1,False,7,-10.0,COATS,-G--G,3,3,JUDGE,-----,5,5,SAYIN,Y----,5.0,5.0,SPARK,Y---Y,5.0,5.0,LOOSE,YG-Y-,4.0,4.0,HEALY,---Y-,5.0,5.0,0,0,0,0,2,0,0,2,2,0,1,3,2,1,1,4,1,1,1,3,2,2,3,7
pure_random,16,CHILE,1,False,7,-10.0,GARDE,----G,4,4,CRATE,G---G,3,3,BAYOU,-----,5.0,5.0,BOATS,-----,5.0,5.0,KEEFE,----G,4.0,4.0,PETRO,-Y---,5.0,5.0,0,0,0,0,0,0,2,2,2,0,1,3,2,0,4,6,1,0,0,1,2,0,3,5
pure_random,17,BLACK,1,False,7,-10.0,NAGEL,-Y--Y,5,5,MAHAL,-Y--Y,5,5,DROWN,-----,5.0,5.0,FOURS,-----,5.0,5.0,LEONA,Y---Y,5.0,5.0,DAILY,-Y-Y-,5.0,5.0,0,0,0,0,0,2,0,2,0,2,1,3,0,2,2,4,0,0,3,3,0,1,1,2
pure_random,18,GRANT,1,False,7,-10.0,CRÈME,-G---,4,4,NICOL,Y----,5,5,KELLY,-----,5.0,5.0,PESKY,-----,5.0,5.0,VERSO,--Y--,5.0,5.0,GODOT,G---G,3.0,3.0,0,0,0,0,1,0,1,2,1,1,2,4,1,1,3,5,1,1,3,5,1,2,1,4
pure_random,19,MEALS,1,False,7,-10.0,KNOPF,-----,5,5,DELLE,-G-G-,3,3,BILAL,--YY-,5.0,4.0,ANION,Y----,5.0,5.0,QUINT,-----,5.0,5.0,ZEBRA,-G--Y,4.0,4.0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,3,6,2,2,2,6,1,1,1,3
pure_random,20,CREAM,1,False,7,-10.0,SUMMA,--Y-Y,5,5,JODIE,----Y,5,5,FACES,-YYY-,5.0,5.0,NILLY,-----,5.0,5.0,PRIVY,-G---,4.0,4.0,LOVER,---YY,5.0,5.0,0,0,0,0,0,2,0,2,0,1,1,2,0,4,1,5,0,4,2,6,1,4,3,8
pure_random,21,AWAKE,1,False,7,-10.0,MODUS,-----,5,5,MODEL,---Y-,5,5,NEEDY,-Y---,5.0,5.0,MAXED,-Y-Y-,5.0,4.0,DIGBY,-----,5.0,5.0,BAIRD,-Y---,5.0,5.0,0,0,0,0,0,0,3,3,0,0,1,1,0,1,2,3,0,2,2,4,0,2,3,5
pure_random,22,OCCUR,1,False,7,-10.0,SCOFF,-GY--,4,4,GRIME,-Y---,5,5,BOING,-Y---,5.0,5.0,DUFFY,-Y---,5.0,5.0,LOOMS,-Y---,5.0,5.0,BOSCO,-Y-Y-,5.0,4.0,0,0,0,0,1,1,0,2,1,1,2,4,1,2,1,4,1,4,2,7,1,3,2,6
pure_random,23,YEARS,1,False,7,-10.0,NITTY,----Y,5,5,LOSES,---YG,4,4,DEBIT,-G---,4.0,4.0,SOLID,Y----,5.0,5.0,LAVAL,-Y---,5.0,5.0,WALID,-Y---,5.0,5.0,0,0,0,0,0,1,0,1,1,1,2,4,2,2,4,8,2,3,1,6,2,4,3,9
pure_random,24,GRADE,1,False,7,-10.0,JOHAN,---Y-,5,5,LANCE,-Y--G,4,4,RIGGS,Y-Y--,5.0,5.0,LEGER,-YY-Y,5.0,5.0,LUPUS,-----,5.0,5.0,MARKO,-YY--,5.0,5.0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,1,4,1,4,2,7,1,3,1,5
pure_random,25,CHILL,1,False,7,-10.0,CLARE,GY---,4,4,RAPID,---Y-,5,5,ANDRE,-----,5.0,5.0,SWORN,-----,5.0,5.0,STUNG,-----,5.0,5.0,DELIA,--YY-,5.0,5.0,0,0,0,0,1,1,2,4,1,2,4,7,1,2,2,5,1,2,2,5,1,1,3,5
pure_random,26,FLOOD,1,False,7,-10.0,CUBAN,-----,5,5,DELFT,Y-YY-,5,5,PINGS,-----,5.0,5.0,DARKO,Y---Y,5.0,5.0,CASTS,-----,5.0,5.0,MASTS,-----,5.0,5.0,0,0,0,0,0,0,0,0,0,3,1,4,0,3,1,4,0,4,4,8,0,4,3,7
pure_random,27,APPLY,1,False,7,-10.0,DECAY,---YG,4,4,CIGAR,---Y-,5,5,FOOTY,----G,4.0,4.0,TUDOR,-----,5.0,5.0,KNIFE,-----,5.0,5.0,GLEAM,-Y-Y-,5.0,5.0,0,0,0,0,1,1,1,3,0,1,0,1,1,1,4,6,1,1,3,5,1,1,2,4
pure_random,28,SMILE,1,False,7,-10.0,PLAZA,-Y---,5,5,ADLER,--YY-,5,4,FLAPS,-Y--Y,5.0,5.0,AROMA,---Y-,5.0,5.0,OVARY,-----,5.0,5.0,FAULT,---G-,4.0,4.0,0,0,0,0,0,0,1,1,0,2,2,4,0,3,2,5,0,4,3,7,0,3,2,5
pure_random,29,KNOCK,1,False,7,-10.0,DELTA,-----,5,5,BERTH,-----,5,5,SWABS,-----,5.0,5.0,BLOND,--GY-,4.0,4.0,CHEAP,Y----,5.0,5.0,OCHOA,YY---,5.0,5.0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,3,3,1,1,3,5,1,1,2,4
pure_random,30,SLEEP,1,False,7,-10.0,BIBLE,---YY,5,5,GOMES,---GY,4,4,PALOS,Y-Y-Y,5.0,5.0,SALAH,G-Y--,4.0,4.0,BRANT,-----,5.0,5.0,SHINY,G----,4.0,4.0,0,0,0,0,0,1,0,1,1,2,1,4,1,3,1,5,2,4,2,8,1,3,3,7
pure_random,31,BRICK,1,False,7,-10.0,SEEPS,-----,5,5,SPAWN,-----,5,5,BRITS,GGG--,2.0,2.0,PONZI,----Y,5.0,5.0,RESIN,Y--Y-,5.0,5.0,SETUP,-----,5.0,5.0,0,0,0,0,0,0,2,2,0,0,1,1,3,0,2,5,3,0,3,6,3,2,4,9
pure_random,32,WROTE,1,False,7,-10.0,BLAME,----G,4,4,FEMME,----G,4,4,COMME,-Y--G,4.0,4.0,ETHNO,YY--Y,5.0,5.0,BATES,--YY-,5.0,4.0,SIEGE,----G,4.0,4.0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,2,4,0,2,1,3
pure_random,33,RATED,1,False,7,-10.0,FEMME,-Y---,5,5,SYNTH,---Y-,5,5,ATLAS,YY---,5.0,4.0,MASTS,-G-Y-,4.0,4.0,BARON,-GY--,4.0,4.0,HAUTE,-G-YY,4.0,3.0,0,0,0,0,0,1,0,1,0,1,1,2,0,2,2,4,0,2,1,3,0,2,1,3
pure_random,34,ALERT,1,False,7,-10.0,POLAR,--YYY,5,4,ZORRO,---G-,4,4,MUSES,---Y-,5.0,5.0,SPAIN,--Y--,5.0,5.0,MORAN,--YY-,5.0,5.0,LOMAX,Y--Y-,5.0,5.0,0,0,0,0,0,2,1,3,1,3,0,4,1,3,2,6,1,3,3,7,1,3,2,6
pure_random,35,CAGES,2,False,7,-10.0,CILIA,G---Y,4,4,THUGS,---YG,4,4,EXILE,Y----,5.0,5.0,DWYER,---G-,4.0,4.0,BOOMS,----G,4.0,4.0,HADES,-G-GG,2.0,2.0,0,0,0,0,1,1,0,2,2,2,2,6,2,2,0,4,2,3,0,5,1,1,2,4
pure_random,36,TEDDY,2,False,7,-10.0,ERROR,Y----,5,5,FAKER,---Y-,5,5,VIVEK,---Y-,5.0,5.0,BRIAN,-----,5.0,5.0,FEVER,-G---,4.0,4.0,DISKS,Y----,5.0,5.0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,3,4,0,1,3,4,1,1,2,4
pure_random,37,COLES,2,False,7,-10.0,CANAL,G---Y,4,4,PLINY,-Y---,5,5,GASOL,--YYY,5.0,5.0,TRANS,----G,4.0,4.0,BENCH,-Y-Y-,5.0,5.0,BUSTS,----G,4.0,4.0,0,0,0,0,1,0,1,2,1,1,1,3,1,2,2,5,2,3,1,6,1,5,2,8
pure_random,38,HWANG,2,False,7,-10.0,AVERY,Y----,5,5,CONGO,--YY-,5,4,TWEET,-G---,4.0,4.0,GUISE,Y----,5.0,5.0,FEUDS,-----,5.0,5.0,WHIPS,YY---,5.0,5.0,0,0,0,0,0,1,0,1,0,3,1,4,1,2,1,4,1,3,3,7,1,3,2,6
pure_random,39,WRATH,2,False,7,-10.0,TELUS,Y----,5,5,STUNG,-Y---,5,5,FABER,-Y--Y,5.0,5.0,FIFTH,---GG,3.0,3.0,GAVEL,-Y---,5.0,5.0,DRIPS,-G---,4.0,4.0,0,0,0,0,0,0,2,2,0,1,1,2,0,2,1,3,2,3,3,8,2,2,2,6
pure_random,40,MACHO,2,False,7,-10.0,SALIM,-G--Y,4,4,MACAO,GGG-G,1,1,CAMPO,YGY-G,3.0,3.0,ANGIE,Y----,5.0,5.0,TEXAS,---Y-,5.0,5.0,VROOM,--Y-Y,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,1,7,4,2,2,8,4,3,0,7
pure_random,41,LOPEZ,2,False,7,-10.0,SUGAR,-----,5,5,FATAL,----Y,5,5,YEMEN,---G-,4.0,4.0,BEACH,-Y---,5.0,5.0,ABORT,--Y--,5.0,5.0,SAHIB,-----,5.0,5.0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,3,1,2,4,7,1,3,4,8
pure_random,42,GOODY,2,False,7,-10.0,SYNOD,-Y-YY,5,4,HAULS,-----,5,5,PICKS,-----,5.0,5.0,SCANS,-----,5.0,5.0,COMBS,-G---,4.0,4.0,AIDED,--Y--,5.0,5.0,0,0,0,0,0,3,1,4,0,3,1,4,0,3,4,7,0,2,2,4,1,3,2,6
pure_random,43,BROTH,2,False,7,-10.0,KEANU,-----,5,5,SHELF,-Y---,5,5,BEACH,G---G,3.0,3.0,GAZED,-----,5.0,5.0,SARIN,--Y--,5.0,5.0,CUSHY,---Y-,5.0,5.0,0,0,0,0,0,0,1,1,0,0,2,2,2,1,2,5,2,1,3,6,2,1,3,6
pure_random,44,VERDE,2,False,7,-10.0,HECHT,-G---,4,4,MUSIC,-----,5,5,TWEEN,--YY-,5.0,5.0,LIEUT,--Y--,5.0,5.0,GERRY,-GG--,3.0,3.0,NUDGE,--Y-G,4.0,4.0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,3,5,0,0,0,0,2,0,3,5
pure_random,45,TAMED,2,False,7,-10.0,BABES,-G-G-,3,3,TUMOR,G-G--,3,3,GLARE,--Y-Y,5.0,4.0,IMRAN,-Y-Y-,5.0,5.0,BOATS,--YY-,5.0,5.0,PEASY,-YY--,5.0,5.0,0,0,0,0,2,0,0,2,4,0,1,5,4,1,1,6,4,3,3,10,4,3,1,8
pure_random,46,LEAFS,2,False,7,-10.0,CHICA,----Y,5,5,POPPA,----Y,5,5,JOSIE,--Y-Y,5.0,5.0,NAIVE,-Y--Y,5.0,5.0,GATES,-Y-YG,4.0,4.0,TACIT,-Y---,5.0,5.0,0,0,0,0,0,1,0,1,0,1,2,3,0,2,1,3,0,1,0,1,1,3,3,7
pure_random,47,YACHT,2,False,7,-10.0,SHALE,-YY--,5,5,CAKES,YG---,4,4,RUMOR,-----,5.0,5.0,FARTS,-G-Y-,4.0,4.0,BONES,-----,5.0,5.0,CELTS,Y--Y-,5.0,5.0,0,0,0,0,0,1,2,3,1,3,0,4,0,2,2,4,1,4,3,8,1,4,3,8
pure_random,48,MESSY,2,False,7,-10.0,LOVES,---YY,5,5,GIPSY,---GG,3,3,GLEAN,--Y--,5.0,5.0,INTEL,---Y-,5.0,5.0,CASKS,--G-Y,4.0,4.0,SIMBA,Y-Y--,5.0,5.0,0,0,0,0,0,1,0,1,2,1,2,5,2,2,3,7,2,2,1,5,3,1,2,6
pure_random,49,RYDER,2,False,7,-10.0,FLAGG,-----,5,5,DOERS,Y-YY-,5,4,CORSO,--Y--,5.0,5.0,FUNNY,----Y,5.0,5.0,DUNNO,Y----,5.0,5.0,COMET,---G-,4.0,4.0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,1,4,0,4,3,7,0,3,2,5
pure_random,50,MOTIF,2,False,7,-10.0,MIAMI,GY---,4,4,WELLS,-----,5,5,SPRAY,-----,5.0,5.0,HIKED,-Y---,5.0,5.0,ATOLL,-YY--,5.0,5.0,LOOSE,-G---,4.0,4.0,0,0,0,0,1,1,0,2,1,1,2,4,1,1,1,3,1,1,2,4,1,3,3,7
pure_random,51,RAVEN,2,False,7,-10.0,HAVRE,-GGYY,3,3,CALIF,-G---,4,4,BOOBS,-----,5.0,5.0,LYCRA,---YY,5.0,5.0,FABER,-G-GY,3.0,3.0,SISSY,-----,5.0,5.0,0,0,0,0,1,2,0,3,2,2,0,4,2,2,2,6,1,0,2,3,3,3,3,9
pure_random,52,REICH,2,False,7,-10.0,MOORE,---YY,5,5,TULLY,-----,5,5,STOWE,----Y,5.0,5.0,SLADE,----Y,5.0,5.0,BILLY,-Y---,5.0,5.0,CRORE,YY--Y,5.0,5.0,0,0,0,0,0,2,0,2,0,2,2,4,0,2,2,4,0,2,2,4,0,3,1,4
pure_random,53,ICONS,2,False,7,-10.0,RATIO,---YY,5,5,GATOR,---Y-,5,5,MINOT,-YYY-,5.0,4.0,SLICK,Y-YY-,5.0,5.0,MOMMA,-Y---,5.0,5.0,ETHYL,-----,5.0,5.0,0,0,0,0,0,1,3,4,0,1,1,2,0,2,0,2,0,4,2,6,0,5,2,7
pure_random,54,SILKY,2,False,7,-10.0,SILLS,GGG--,2,2,WHOOP,-----,5,5,WEIBO,--Y--,5.0,5.0,DINED,-G---,4.0,4.0,BERYL,---YY,5.0,5.0,JAVED,-----,5.0,5.0,0,0,0,0,3,0,0,3,3,0,2,5,2,0,1,3,3,1,2,6,3,3,2,8
pure_random,55,CARVE,2,False,7,-10.0,MASSA,-G---,4,4,PLATO,--Y--,5,5,FLOOR,----Y,5.0,5.0,NAIVE,-G-GG,2.0,2.0,GRIST,-Y---,5.0,5.0,LAGER,-G-YY,4.0,4.0,0,0,0,0,1,0,0,1,1,1,2,4,0,1,0,1,3,1,3,7,2,1,2,5
pure_random,56,LAGER,2,False,7,-10.0,LOADS,G-Y--,4,4,DAVIS,-G---,4,4,LIBRE,G--YY,4.0,4.0,TOPPS,-----,5.0,5.0,USUAL,---YY,5.0,5.0,GAMES,YG-G-,3.0,3.0,0,0,0,0,1,0,2,3,1,1,1,3,2,3,2,7,2,2,1,5,1,2,1,4
pure_random,57,JERKS,2,False,7,-10.0,CHORE,---YY,5,5,CRYPT,-Y---,5,5,DOCKS,---GG,3.0,3.0,CLOUT,-----,5.0,5.0,VIOLA,-----,5.0,5.0,DONOR,----Y,5.0,5.0,0,0,0,0,0,1,1,2,0,2,2,4,2,2,3,7,2,2,2,6,2,1,2,5
pure_random,58,LOTUS,2,False,7,-10.0,SADLY,Y--Y-,5,5,FINER,-----,5,5,TANDY,Y----,5.0,5.0,EXPEL,----Y,5.0,5.0,PURSE,-Y-Y-,5.0,5.0,ROQUE,-G-G-,3.0,3.0,0,0,0,0,0,2,0,2,0,2,4,6,0,2,1,3,0,2,3,5,0,3,2,5
pure_random,59,LACEY,2,False,7,-10.0,CRASS,Y-Y--,5,5,LEAVE,GYY--,4,3,LAYLA,GGY--,3.0,3.0,REEKS,-Y---,5.0,5.0,LUZON,G----,4.0,4.0,IRISH,-----,5.0,5.0,0,0,0,0,0,2,0,2,0,2,0,2,2,4,2,8,1,4,0,5,2,4,2,8
pure_random,60,TUDOR,2,False,7,-10.0,LENIN,-----,5,5,HOYER,-Y--G,4,4,SHOVE,--Y--,5.0,5.0,SONJA,-Y---,5.0,5.0,OUIJA,YG---,4.0,4.0,KYUNG,--Y--,5.0,5.0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,2,4,1,0,3,4,2,1,2,5
pure_random,61,QUOTA,2,False,7,-10.0,SPOCK,--G--,4,4,HELPS,-----,5,5,VODKA,-Y--G,4.0,4.0,SITKA,--Y-G,4.0,4.0,WHICH,-----,5.0,5.0,TELLS,Y----,5.0,5.0,0,0,0,0,1,0,2,3,1,0,1,2,1,1,2,4,2,2,3,7,2,1,3,6
pure_random,62,MOURN,2,False,7,-10.0,FOLEY,-G---,4,4,LINDE,--Y--,5,5,STOUT,--YY-,5.0,4.0,WIGHT,-----,5.0,5.0,APART,---G-,4.0,4.0,ZHENG,---Y-,5.0,5.0,0,0,0,0,1,0,2,3,1,1,0,2,1,3,2,6,1,3,1,5,2,2,3,7
pure_random,63,PROMO,2,False,7,-10.0,MILFS,Y----,5,5,SUPER,--Y-Y,5,5,BIKER,----Y,5.0,5.0,BULBS,-----,5.0,5.0,DJING,-----,5.0,5.0,SPENT,-Y---,5.0,5.0,0,0,0,0,0,1,1,2,0,3,2,5,0,3,4,7,0,3,1,4,0,2,3,5
pure_random,64,CASTE,2,False,7,-10.0,FORZA,----Y,5,5,ARABS,Y---Y,5,5,SETUP,YYY--,5.0,5.0,BABES,-G-YY,4.0,4.0,FEDOR,-Y---,5.0,5.0,QUOTA,---GY,4.0,4.0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,3,1,4,3,8,1,3,2,6
pure_random,65,CAPRI,2,False,7,-10.0,FISTS,-Y---,5,5,MOVED,-----,5,5,HARDY,-GY--,4.0,4.0,LOVER,----Y,5.0,5.0,KAROL,-GY--,4.0,4.0,MORIN,--YY-,5.0,4.0,0,0,0,0,0,1,0,1,0,1,1,2,1,1,3,5,0,2,2,4,1,1,2,4
pure_random,66,ALIAS,2,False,7,-10.0,SKIFF,Y-G--,4,4,FRUIT,---Y-,5,5,HOWDY,-----,5.0,5.0,RIDES,-Y--G,4.0,4.0,ROGEN,-----,5.0,5.0,CHIPS,--G-G,3.0,3.0,0,0,0,0,1,1,1,3,1,2,0,3,1,0,2,3,2,2,3,7,0,0,1,1
pure_random,67,PADDY,2,False,7,-10.0,ELLEN,-----,5,5,BLANC,--Y--,5,5,HOUGH,-----,5.0,5.0,HORSE,-----,5.0,5.0,GRONK,-----,5.0,5.0,ROUND,----Y,5.0,5.0,0,0,0,0,0,0,2,2,0,1,0,1,0,1,3,4,0,1,4,5,0,1,4,5
pure_random,68,BLOBS,3,False,7,-10.0,HENCE,-----,5,5,CURIE,-----,5,5,HULLS,--Y-G,4.0,4.0,SHERI,Y----,5.0,5.0,KAYAK,-----,5.0,5.0,LAPIS,Y---G,4.0,4.0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,4,6,1,2,0,3,0,0,2,2
pure_random,69,DILLY,3,False,7,-10.0,THUNK,-----,5,5,POLLS,--GG-,3,3,FORAY,----G,4.0,4.0,CLINE,-YY--,5.0,5.0,PRIVY,--Y-G,4.0,4.0,SHEAF,-----,5.0,5.0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,1,4,2,2,2,6,3,2,5,10
pure_random,70,GUTSY,3,False,7,-10.0,RIKER,-----,5,5,DUGAN,-GY--,4,4,LUGER,-GY--,4.0,4.0,DEANE,-----,5.0,5.0,TARIK,Y----,5.0,5.0,OUTRO,-GG--,3.0,3.0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,4,6,1,1,4,6,0,1,1,2
pure_random,71,TABOR,3,False,7,-10.0,PEONY,--Y--,5,5,BATHS,YGY--,4,4,HOOPS,-Y---,5.0,5.0,QUITE,---Y-,5.0,5.0,TAPED,GG---,3.0,3.0,MAVEN,-G---,4.0,4.0,0,0,0,0,0,1,0,1,1,3,3,7,1,2,1,4,0,2,2,4,1,3,2,6
pure_random,72,INLAY,3,False,7,-10.0,SHADY,--Y-G,4,4,FACTO,-Y---,5,5,BIKES,-Y---,5.0,5.0,LUCIO,Y--Y-,5.0,5.0,MINOT,-YY--,5.0,4.0,MOREY,----G,4.0,4.0,0,0,0,0,1,0,0,1,1,1,1,3,1,1,2,4,1,3,2,6,0,4,3,7
pure_random,73,AHHHH,3,False,7,-10.0,SNIDE,-----,5,5,ALGAE,G----,4,4,DRAFT,--Y--,5.0,5.0,REEFS,-----,5.0,5.0,CYCLE,-----,5.0,5.0,SOUSA,----Y,5.0,5.0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,4,6,1,1,2,4,1,0,1,2
pure_random,74,ROUEN,3,False,7,-10.0,CLAIM,-----,5,5,GREGG,-YY--,5,5,COSTS,-G---,4.0,4.0,ARTIE,-Y--Y,5.0,4.0,GLOBE,--Y-Y,5.0,4.0,YADAV,-----,5.0,5.0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,3,5,1,2,2,5,1,3,1,5
pure_random,75,BUENA,3,False,7,-10.0,FOUND,--YG-,4,4,ANZAC,YY---,5,5,WEEKS,--G--,4.0,4.0,TAINT,-Y-G-,4.0,4.0,THEIR,--G--,4.0,4.0,SEVEN,-Y--Y,5.0,4.0,0,0,0,0,1,1,0,2,1,3,0,4,1,1,0,2,1,3,2,6,2,2,1,5
pure_random,76,MENON,3,False,7,-10.0,DIETZ,--Y--,5,5,PACTS,-----,5,5,DODGE,-Y--Y,5.0,5.0,PETRA,-G---,4.0,4.0,NYLON,Y--GG,3.0,3.0,AMISS,-Y---,5.0,5.0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,3,4,1,1,0,2,3,3,3,9
pure_random,77,TRASK,3,False,7,-10.0,TRUCE,GG---,3,3,EDWIN,-----,5,5,SNIDE,Y----,5.0,5.0,OZONE,-----,5.0,5.0,THUGS,G---Y,4.0,4.0,HINDI,-----,5.0,5.0,0,0,0,0,2,0,1,3,2,0,4,6,2,1,2,5,1,0,1,2,2,1,4,7
